buyer_id,seller_id,tx_count,total_value
U00751,U01017,1,8.13
U00168,U00080,1,3.11
U01849,U01110,1,18.82
U00736,U00489,1,35.9
U00642,U00646,1,95.32
U01218,U01568,1,11.6
U01278,U01533,1,0.24
U01897,U01697,1,5.74
U01337,U01990,1,21.79
U00213,U00179,1,4.29
U00765,U00047,1,0.33
U01542,U00385,1,24.36
U00302,U00983,1,7.29
U00881,U00721,1,0.52
U01606,U01482,1,4.7
U00766,U00102,1,35.69
U01370,U01869,1,3.44
U01260,U00182,1,10.97
U00285,U01045,1,40.51
U00318,U00672,1,32.22
U01423,U01220,1,21.08
U00014,U01456,1,1.3
U01713,U00850,1,0.75
U00737,U00499,1,5.4
U01464,U01354,1,2.37
U01283,U00950,1,9.41
U01143,U00216,1,0.34
U01382,U01625,1,7.41
U01217,U00568,1,0.87
U01871,U01416,1,37.08
U00379,U00471,1,0.87
U00789,U01150,1,26.19
U01312,U01652,1,5.6
U01622,U00031,1,5.53
U01203,U01447,1,16.11
U00973,U01372,1,0.28
U00087,U00378,1,8.89
U00949,U00459,1,43.45
U01186,U01288,1,1.7
U01117,U01277,1,8.74
U00590,U01532,1,0.28
U00243,U00831,1,0.38
U00148,U00594,1,2.99
U00263,U00197,1,102.56
U00503,U01286,1,33.66
U00197,U00846,1,133.32
U01964,U00230,1,22.16
U00846,U00263,1,166.65
U00895,U00100,1,2.55
U01126,U00185,1,3.07
U01371,U01532,1,0.98
U00722,U00542,1,2.8
U01724,U01715,1,3.9
U00208,U00260,1,3.14
U00851,U01823,1,5.74
U01669,U00961,1,4.28
U00385,U00399,1,3.33
U00908,U01070,1,23.44
U00772,U01311,1,2.4
U01350,U01761,1,0.26
U01075,U00140,1,2.27
U00832,U00538,1,6.27
U01477,U00325,1,0.21
U00930,U00190,2,165.1
U01575,U00937,1,2.95
U00576,U00200,1,5.83
U00375,U00807,1,0.9
U01836,U01868,1,1431.41
U00593,U00017,1,0.22
U01029,U01842,1,9.17
U00474,U01283,1,16.2
U00316,U01876,1,4.95
U00187,U00493,1,3.11
U00140,U01600,1,388.23
U01900,U00655,1,7.02
U00823,U01093,1,17.61
U01955,U00407,1,15.38
U00922,U00480,1,111.92
U01669,U01236,1,7.04
U00642,U01393,1,28.59
U01665,U00872,1,361.45
U01490,U01014,1,5.69
U01888,U00707,1,2.24
U00626,U00040,1,3.32
U01388,U00583,1,17.32
U00611,U00724,1,4.78
U00329,U00796,1,6.05
U01299,U00304,1,8.79
U00494,U01875,1,20.44
U01446,U00004,1,5.46
U00836,U00527,1,3.0
U00848,U00965,1,11.59
U00805,U01561,1,0.49
U00028,U00015,1,17.68
U01839,U00895,1,2.66
U01021,U01113,1,2.86
U01919,U00068,1,1.9
U01682,U01792,1,15.76
U00487,U01688,1,51.35
U00257,U00825,1,25.14
U01454,U01520,1,4.32
U00658,U00375,1,32.98
U00185,U00937,1,1.42
U01698,U00042,1,13.34
U01010,U00945,1,6.26
U01801,U00997,1,0.28
U01108,U00342,1,0.49
U00369,U00443,1,9.03
U00819,U00377,1,47.25
U01395,U01201,1,3.69
U00810,U01120,1,4.23
U00217,U01842,1,32.61
U01230,U01853,1,6.26
U00824,U00456,1,0.68
U01242,U00293,1,20.48
U00355,U00797,1,8.99
U00125,U00544,1,6.9
U01986,U00163,1,2.83
U01262,U00389,1,39.26
U01713,U01544,1,5.18
U01507,U01899,1,1.79
U00320,U01413,1,35.84
U01769,U00324,1,2.02
