transaction_id,timestamp,marketplace,buyer_id,seller_id,item_id,category,price,quantity,currency,payment_method,buyer_region,seller_region,buyer_device,seller_device,buyer_account_age_days,seller_account_age_days,buyer_feedback,seller_feedback,buyer_kyc,seller_kyc,buyer_vpn_suspected,seller_vpn_suspected,buyer_ip_hash,seller_ip_hash,cumulative_spend_24h,time_since_prev_buyer_min,time_since_prev_seller_min,buyer_seller_prior_7d_edgecount,anomaly_label,anomaly_notes,payment_id,price_z
T6a2ad9a158,2025-04-01 00:04:15,Prime,U00751,U01017,I0425,blueprint,8.13,1,GEM,wallet,SEA,OCE,ios,desktop,31,130,4.28,4.75,1,1,0,0,21369973cc,35331594e6,24.76,-35904.88,-27608.25,1,normal,,Pc7016a0410,-0.357
T12deee8e26,2025-04-01 00:14:53,Prime,U00168,U00080,I0314,title,3.11,1,GEM,wallet,OCE,EU,ios,ios,6,368,4.42,3.43,0,1,0,0,d45ea4ba8b,4642018e12,24.14,-578.6,-8885.67,1,normal,,Pa43dbca869,-0.25
Tcdeb880247,2025-04-01 00:16:36,Prime,U01849,U01110,I0260,skin_legendary,18.82,1,GEM,card,SEA,NA,desktop,android,115,51,4.7,3.89,1,1,1,0,4ba637d166,cd213d85c0,0.5,-41651.65,-8005.58,1,normal,,Pd84c9915c7,-0.293
T01d9c85188,2025-04-01 00:20:04,Prime,U00736,U00489,I0335,artifact,35.9,1,GEM,giftcode,SEA,OCE,android,ios,43,140,3.79,4.89,1,1,0,0,7399714518,0a9f283c7c,0.0,,,1,normal,,P707bc5acb2,-0.213
Tac1be3b5f2,2025-04-01 00:22:37,Prime,U00642,U00646,I0383,skin_legendary,95.32,1,GEM,wallet,SEA,EU,desktop,desktop,96,407,4.25,5.0,1,1,0,0,29927398bf,fe2e3bef95,69.42,-3662.87,-28268.25,1,normal,,P666ed5a99c,-0.009
Tae224e01f1,2025-04-01 00:28:34,Prime,U01218,U01568,I0154,consumable,11.6,1,GEM,wallet,OCE,EAST_ASIA,desktop,desktop,109,168,4.45,5.0,1,0,0,0,390c84ffe2,e1668f03df,3.96,-14341.22,-25834.83,1,shill_bidding,Inflated final sale for staged auction,P742b15a649,5.206
T19df904517,2025-04-01 00:29:06,Prime,U01278,U01533,I0344,consumable,0.24,1,GEM,card,EU,OCE,desktop,android,29,317,3.85,3.63,0,0,0,0,ac33778a4b,d9a08a4fda,49.34,-9015.6,-42952.05,1,normal,,P806472368b,-0.267
T979e217e46,2025-04-01 00:35:13,Prime,U01897,U01697,I0292,title,5.74,1,GEM,card,NA,OCE,ios,ios,434,3,4.38,3.76,1,1,0,1,a623dac1ef,009aa1c072,50.76,-5053.02,-37213.53,1,normal,,P6cd8dce460,-0.127
Tcfe635f53d,2025-04-01 00:37:57,Arcade,U01337,U01990,I0085,blueprint,21.79,1,GEM,card,EAST_ASIA,OCE,desktop,ios,178,257,4.26,4.42,1,0,0,0,876fa23719,41dd05c18b,42.28,-2606.95,-26710.03,1,normal,,Pd627b4c013,-0.158
T53679ba5af,2025-04-01 00:39:18,Arcade,U00213,U00179,I0199,card_epic,4.29,1,GEM,wallet,EAST_ASIA,EAST_ASIA,desktop,desktop,370,268,3.21,3.51,1,1,0,0,e64d74e16d,e9e818d78e,19.57,-1224.02,-2491.65,1,normal,,P72a231b9f6,-0.233
Tb0ac9431fa,2025-04-01 00:39:53,Prime,U00765,U00047,I0231,consumable,0.33,1,GEM,card,NA,OCE,ios,desktop,20,358,3.55,4.44,1,1,0,0,e3220372ac,83de64077c,0.0,,,1,normal,,P19a45bb4c5,-0.224
T4b6d637016,2025-04-01 00:41:40,Arcade,U01542,U00385,I0366,artifact,24.36,1,GEM,crypto,SEA,LATAM,android,desktop,21,586,4.67,5.0,1,0,0,0,56f4f298a9,7496029cfe,0.32,-28849.67,,1,normal,,P0d99d216ac,-0.287
T7c42d21034,2025-04-01 00:41:47,Arcade,U00302,U00983,I0397,blueprint,7.29,1,GEM,card,SEA,NA,desktop,desktop,308,115,4.28,5.0,0,1,0,0,3d9aeecd31,8399e39b3b,35.63,-19078.38,-632.53,1,normal,,Pabc9856ea0,-0.369
T235bb0ad8e,2025-04-01 00:44:51,Prime,U00881,U00721,I0338,card_common,0.52,1,GEM,card,SEA,EAST_ASIA,android,desktop,352,151,4.39,4.45,1,1,0,0,1acccabd4e,74ccbf8685,0.23,-15801.93,-21986.07,1,normal,,Pf11aa8aa38,-0.224
T0d6a448ed7,2025-04-01 00:58:43,Prime,U01606,U01482,I0437,card_epic,4.7,1,GEM,crypto,EAST_ASIA,LATAM,android,ios,243,267,4.82,4.16,0,1,0,0,e143579119,2d7a269e56,10.23,-39938.52,-27930.3,1,normal,,P67cc238729,-0.218
T4e1d82b3c7,2025-04-01 01:03:55,Arcade,U00766,U00102,I0422,artifact,35.69,1,GEM,card,OCE,SEA,desktop,desktop,1829,44,3.61,4.94,1,1,1,0,e64a3c4b57,289325ff5e,1.99,-33904.73,-25085.17,1,normal,,Pb3c76d5ee7,-0.215
Td1471870b3,2025-04-01 01:04:58,Prime,U01370,U01869,I0129,title,3.44,1,GEM,wallet,SEA,SEA,desktop,desktop,261,280,4.99,4.3,0,1,0,0,b2bbc2e0e2,d3accb9797,11.91,-20374.7,-43122.75,1,normal,,Pe2911df960,-0.235
T77fdd78e84,2025-04-01 01:07:47,Prime,U01260,U00182,I0455,skin_rare,10.97,1,GEM,card,EAST_ASIA,NA,console,desktop,792,866,4.68,4.56,1,1,0,0,448dc1f2f6,76e5f80411,56.91,-36017.98,-5094.92,1,normal,,P6aa3cd712a,-0.12
Tda85047634,2025-04-01 01:08:15,Shadow,U00285,U01045,I0385,mount,40.51,1,GEM,crypto,SEA,EU,android,desktop,45,508,3.44,4.15,0,1,0,0,373a41dd13,b1c4d609c3,97.77,-17627.37,-28478.37,1,normal,,Pf0c77d328c,0.004
T9f3b997acb,2025-04-01 01:14:01,Prime,U00318,U00672,I0122,skin_legendary,32.22,1,GEM,card,EU,OCE,console,android,324,127,5.0,4.68,0,0,1,1,7710420054,a47971e96b,32.29,-40016.85,-42110.7,1,normal,,P2ac39f4b34,-0.243
Td41c879328,2025-04-01 01:16:42,Prime,U01423,U01220,I0064,skin_legendary,21.08,1,GEM,crypto,SEA,NA,desktop,android,649,473,3.87,4.09,1,0,0,1,86f7403b3f,0ae115f6f8,20.41,-37410.58,,1,normal,,P1de15db716,-0.285
T4659a49669,2025-04-01 01:23:13,Arcade,U00014,U01456,I0025,skin_common,1.3,1,GEM,card,LATAM,SEA,desktop,desktop,134,139,4.5,3.81,1,1,0,0,3d1bd0d8c4,ceed0d2777,7.77,-29277.88,-16054.75,1,normal,,P3630480bcf,-0.226
T49ef4be1a8,2025-04-01 01:24:36,Prime,U01713,U00850,I0072,skin_common,0.75,1,GEM,crypto,EAST_ASIA,EU,android,android,294,172,4.31,4.03,1,0,1,0,e7c594644d,1d2aaec643,0.45,-36466.97,,1,normal,,Pbb9bc0a030,-0.308
T4d6b0d5c82,2025-04-01 01:28:14,Shadow,U00737,U00499,I0464,card_epic,5.4,1,GEM,crypto,EAST_ASIA,NA,android,desktop,793,951,4.11,4.3,1,1,1,0,10975551dd,18cea5ca42,4.11,-17927.33,-18946.87,1,normal,,P3555e7dbcf,-0.194
T0325313424,2025-04-01 01:28:44,Prime,U01464,U01354,I0205,title,2.37,1,GEM,card,LATAM,SEA,desktop,android,38,161,4.08,4.7,0,1,0,0,b92330e6ad,17d8836b27,1.53,-41574.02,-17220.73,1,normal,,Pf33368ea42,-0.285
Td7e586c294,2025-04-01 01:35:19,Prime,U01283,U00950,I0360,blueprint,9.41,1,GEM,crypto,SEA,EAST_ASIA,desktop,desktop,40,107,4.16,3.37,1,0,0,0,7fee9c86fe,c96e5d904e,0.0,,,1,normal,,Pc3bed0e7dc,-0.338
Tf12da91277,2025-04-01 01:49:53,Prime,U01143,U00216,I0278,card_common,0.34,1,GEM,card,NA,NA,desktop,android,102,345,5.0,3.43,1,1,0,0,0759f2c11c,a84608c0b1,23.26,-7957.77,-26435.5,1,normal,,P509be673ca,-0.289
T462990d411,2025-04-01 01:56:49,Arcade,U01382,U01625,I0421,mount,7.41,1,GEM,wallet,SEA,EU,desktop,desktop,452,172,3.49,3.53,1,1,0,0,64ba3cd10e,a3ca34b18b,2.77,-38660.03,-6774.18,1,normal,,P2eb932e473,-0.311
Td92c1ccc11,2025-04-01 02:21:50,Prime,U01217,U00568,I0037,skin_common,0.87,1,GEM,card,LATAM,OCE,desktop,android,1565,465,3.33,3.5,0,1,0,0,0b93f929d9,6730bce89b,17.46,-26583.4,-2199.78,1,normal,,P31c25134d2,-0.29
Tec57982101,2025-04-01 02:23:07,Prime,U01871,U01416,I0068,artifact,37.08,1,GEM,wallet,EAST_ASIA,OCE,android,ios,450,206,3.69,3.44,0,1,0,0,ebe58ee8ca,93e50262f0,0.0,,,1,normal,,P652bbc1888,-0.206
T501e702b3c,2025-04-01 02:27:40,Shadow,U00379,U00471,I0089,skin_common,0.87,1,GEM,card,NA,EAST_ASIA,android,android,115,33,4.14,4.74,0,1,0,0,26d29a72a9,182839cfd4,16.0,-7950.82,-36962.83,1,normal,,P9d363d8811,-0.29
T05d03151ad,2025-04-01 02:28:49,Prime,U00789,U01150,I0346,artifact,26.19,1,GEM,card,LATAM,EAST_ASIA,ios,desktop,245,9,5.0,5.0,0,1,1,0,6b666937aa,6737143ce6,26.45,-4786.42,-36367.6,1,normal,,Pce4eca4ac8,-0.276
Tbf4a36cb08,2025-04-01 02:32:47,Prime,U01312,U01652,I0464,card_epic,5.6,1,GEM,crypto,OCE,OCE,android,android,254,132,4.5,4.96,1,1,0,0,803ae6c640,05ec536a21,83.7,-41029.32,-41622.3,1,normal,,P2c8279b00f,-0.187
T56ba483944,2025-04-01 02:37:23,Prime,U01622,U00031,I0186,blueprint,5.53,1,GEM,card,NA,EU,desktop,desktop,512,269,3.83,4.31,1,0,0,0,c17a178418,0679867665,104.18,-32067.08,-38963.28,1,normal,,Pf42a354350,-0.395
