user_id,region,device,account_age_days,kyc_verified,feedback_score,vpn_suspected,base_spend_profile,ip_hash
U00000,OCE,desktop,141,False,4.69,False,79.1,59cf22d826
U00001,OCE,desktop,3,True,4.47,False,49.87,6f247f7819
U00002,EU,desktop,7,False,4.02,False,32.73,15698094ee
U00003,NA,android,61,True,2.73,False,47.24,2e474630fd
U00004,EAST_ASIA,desktop,284,True,3.76,False,10.0,1fc22d9e85
U00005,SEA,desktop,1,True,5.0,True,28.64,9ba6b8c1d2
U00006,NA,desktop,281,True,3.94,False,15.45,3dad40b2be
U00007,EAST_ASIA,android,175,True,3.98,False,19.99,4302995bff
U00008,EAST_ASIA,desktop,90,False,4.43,False,10.0,ed3a24ee72
U00009,OCE,android,2,False,4.43,False,44.42,44dac8730f
U00010,SEA,desktop,28,True,4.23,False,15.32,96f35b7f01
U00011,EAST_ASIA,desktop,95,False,3.49,False,10.0,1a6a43b9f8
U00012,NA,ios,46,False,3.89,True,34.83,c0469d916e
U00013,EU,android,507,False,4.84,True,39.63,17d65d30c9
U00014,LATAM,desktop,3,True,4.5,False,48.33,3d1bd0d8c4
U00015,EU,console,20,True,5.0,False,10.0,8218ca183a
U00016,LATAM,desktop,655,True,4.52,False,11.24,9db3b6d41f
U00017,SEA,desktop,248,False,5.0,False,10.0,a55f666d9a
U00018,LATAM,android,8,True,4.35,False,15.35,caca26329a
U00019,NA,android,214,False,3.98,False,10.0,82be0df620
U00020,EAST_ASIA,desktop,78,True,3.81,False,12.79,95a81178a5
U00021,SEA,desktop,496,True,4.45,False,26.66,e2d5f6c9e0
U00022,LATAM,ios,670,True,3.88,False,14.96,b849e004b4
U00023,EAST_ASIA,ios,168,False,2.71,False,27.41,85042f16a6
U00024,LATAM,android,39,True,4.2,False,28.89,63198910a8
U00025,OCE,desktop,1,True,4.29,False,10.0,25235f660c
U00026,OCE,desktop,101,True,4.34,True,184.37,5e35f59a25
U00027,LATAM,console,98,False,3.96,False,13.74,a91f3cc66e
U00028,EU,ios,1274,True,4.99,False,39.52,f49625dab5
U00029,SEA,desktop,391,True,5.0,False,70.32,899c96e0c8
U00030,OCE,ios,29,False,3.71,True,12.07,1f3d15c8ab
U00031,EU,desktop,269,False,4.31,False,14.45,0679867665
U00032,EU,android,311,True,3.75,False,81.04,9eedd6d099
U00033,OCE,ios,3,True,4.09,False,33.13,d95d1d2928
U00034,OCE,desktop,510,True,3.34,True,23.72,effcc31120
U00035,OCE,desktop,683,False,3.44,False,58.65,2be7c56620
U00036,OCE,desktop,389,False,4.45,False,27.43,f166717b86
U00037,SEA,desktop,27,True,4.44,True,43.06,c0a1a88212
U00038,OCE,android,33,False,5.0,False,30.77,3be21eba7e
U00039,EU,android,1,False,3.85,False,10.0,7d815f4d86
U00040,NA,desktop,315,False,4.79,True,110.73,06de74ac08
U00041,NA,ios,138,True,4.83,False,16.19,c0c4aec115
U00042,SEA,desktop,476,True,4.14,False,232.33,aeed5aba62
U00043,EU,ios,385,True,4.33,False,17.75,a0de8d1572
U00044,EAST_ASIA,ios,847,False,4.17,True,38.19,4924c933f8
U00045,LATAM,desktop,791,True,4.03,False,40.42,382e2a0d3f
U00046,SEA,desktop,572,True,4.43,False,10.0,18760b711f
U00047,OCE,desktop,358,True,4.44,False,10.0,83de64077c
U00048,LATAM,desktop,46,True,4.51,False,33.27,c4231a0167
U00049,OCE,android,364,True,4.84,False,11.66,ee97025a44
U00050,LATAM,android,606,False,4.61,False,643.85,db000a0825
U00051,SEA,ios,315,False,4.44,False,23.54,95fe4d1324
U00052,SEA,desktop,142,True,4.01,False,21.62,0497e20301
U00053,EU,android,235,True,4.05,True,21.59,b37280b60c
U00054,NA,ios,519,True,4.34,False,10.0,79b85ffe44
U00055,NA,desktop,73,True,5.0,False,105.54,778e6e6836
U00056,EU,ios,389,False,3.08,False,23.76,8de39ae26c
U00057,SEA,android,95,True,3.84,False,89.58,129abcdc01
U00058,SEA,desktop,52,True,5.0,False,28.92,4c08b035a8
U00059,SEA,android,99,False,4.53,False,88.78,9d59c6718b
U00060,EAST_ASIA,ios,164,True,5.0,True,10.62,5713d7073c
